date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210307,CA,3501394.0,,,,totalTestsViral,49646014.0,4291.0,,1159.0,,,,,3/7/2021 02:59,2021-03-07T02:59:00Z,03/06 21:59,54124.0,,,2021-03-07T02:59:00Z,49646014.0,,,3501394.0,,,,,,,,,,,,,,,06,3816,0,3501394,133186,3501394,,258,0,63c5c0fd2daef2fb65150e9db486de98ed3f7b72,0,0,0,0,0,
20210306,CA,3497578.0,,,,totalTestsViral,49512828.0,4513.0,,1221.0,,,,,3/6/2021 02:59,2021-03-06T02:59:00Z,03/05 21:59,53866.0,,,2021-03-06T02:59:00Z,49512828.0,,,3497578.0,,,,,,,,,,,,,,,06,4452,0,3497578,218325,3497578,,418,0,54b454d1890500b58f2f6b964b37bc373242b0dc,0,0,0,0,0,
20210305,CA,3493126.0,,,,totalTestsViral,49294503.0,4714.0,,1236.0,,,,,3/5/2021 02:59,2021-03-05T02:59:00Z,03/04 21:59,53448.0,,,2021-03-05T02:59:00Z,49294503.0,,,3493126.0,,,,,,,,,,,,,,,06,4659,0,3493126,146818,3493126,,400,0,255ceaacd8aef4c38fd655917cba2f7806784c0a,0,0,0,0,0,
20210304,CA,3488467.0,,,,totalTestsViral,49147685.0,4967.0,,1327.0,,,,,3/4/2021 02:59,2021-03-04T02:59:00Z,03/03 21:59,53048.0,,,2021-03-04T02:59:00Z,49147685.0,,,3488467.0,,,,,,,,,,,,,,,06,3504,0,3488467,119637,3488467,,273,0,cc0edfeae13c59b87ec961d01dac49137a894da9,0,0,0,0,0,
20210303,CA,3484963.0,,,,totalTestsViral,49028048.0,5110.0,,1403.0,,,,,3/3/2021 02:59,2021-03-03T02:59:00Z,03/02 21:59,52775.0,,,2021-03-03T02:59:00Z,49028048.0,,,3484963.0,,,,,,,,,,,,,,,06,3352,0,3484963,130858,3484963,,278,0,7a6abcae85445835536365a8f820794cf8f4359f,0,0,0,0,0,
20210302,CA,3481611.0,,,,totalTestsViral,48897190.0,5302.0,,1452.0,,,,,3/2/2021 02:59,2021-03-02T02:59:00Z,03/01 21:59,52497.0,,,2021-03-02T02:59:00Z,48897190.0,,,3481611.0,,,,,,,,,,,,,,,06,2533,0,3481611,184514,3481611,,303,0,963d890fa5f8622cb9b288e7bb60da38a7ffd8f0,0,0,0,0,0,
20210301,CA,3479078.0,,,,totalTestsViral,48712676.0,5409.0,,1518.0,,,,,3/1/2021 02:59,2021-03-01T02:59:00Z,02/28 21:59,52194.0,,,2021-03-01T02:59:00Z,48712676.0,,,3479078.0,,,,,,,,,,,,,,,06,3516,0,3479078,243570,3479078,,215,0,cbb13ac41ca245c4649c9d77d73473d58d3af45c,0,0,0,0,0,
20210228,CA,3475562.0,,,,totalTestsViral,48469106.0,5674.0,,1585.0,,,,,2/28/2021 02:59,2021-02-28T02:59:00Z,02/27 21:59,51979.0,,,2021-02-28T02:59:00Z,48469106.0,,,3475562.0,,,,,,,,,,,,,,,06,4685,0,3475562,249616,3475562,,158,0,f86022de4fee5f9beb5dcdd2ff96204d277018ba,0,0,0,0,0,
20210227,CA,3470877.0,,,,totalTestsViral,48219490.0,5897.0,,1651.0,,,,,2/27/2021 02:59,2021-02-27T02:59:00Z,02/26 21:59,51821.0,,,2021-02-27T02:59:00Z,48219490.0,,,3470877.0,,,,,,,,,,,,,,,06,5151,0,3470877,223914,3470877,,439,0,c79aae28d74b617e7cdecfe1a0e75623c959873e,0,0,0,0,0,
20210226,CA,3465726.0,,,,totalTestsViral,47995576.0,6152.0,,1725.0,,,,,2/26/2021 02:59,2021-02-26T02:59:00Z,02/25 21:59,51382.0,,,2021-02-26T02:59:00Z,47995576.0,,,3465726.0,,,,,,,,,,,,,,,06,5400,0,3465726,181416,3465726,,391,0,33da607366c7b8cb540e076db4fa0fe5558dab40,0,0,0,0,0,
20210225,CA,3460326.0,,,,totalTestsViral,47814160.0,6520.0,,1783.0,,,,,2/25/2021 02:59,2021-02-25T02:59:00Z,02/24 21:59,50991.0,,,2021-02-25T02:59:00Z,47814160.0,,,3460326.0,,,,,,,,,,,,,,,06,4965,0,3460326,161988,3460326,,1114,0,bce670e1f77d291fe88e6c27fb7d161307edb988,0,0,0,0,0,
20210224,CA,3455361.0,,,,totalTestsViral,47652172.0,6764.0,,1842.0,,,,,2/24/2021 02:59,2021-02-24T02:59:00Z,02/23 21:59,49877.0,,,2021-02-24T02:59:00Z,47652172.0,,,3455361.0,,,,,,,,,,,,,,,06,5303,0,3455361,138805,3455361,,314,0,73cbf2d1ea6a9377fc80bad073db69cfc87adb38,0,0,0,0,0,
20210223,CA,3450058.0,,,,totalTestsViral,47513367.0,6908.0,,1898.0,,,,,2/23/2021 02:59,2021-02-23T02:59:00Z,02/22 21:59,49563.0,,,2021-02-23T02:59:00Z,47513367.0,,,3450058.0,,,,,,,,,,,,,,,06,3447,0,3450058,192565,3450058,,225,0,a44200418a0f406f666557f573e7830ab72951b8,0,0,0,0,0,
20210222,CA,3446611.0,,,,totalTestsViral,47320802.0,7165.0,,2010.0,,,,,2/22/2021 02:59,2021-02-22T02:59:00Z,02/21 21:59,49338.0,,,2021-02-22T02:59:00Z,47320802.0,,,3446611.0,,,,,,,,,,,,,,,06,4665,0,3446611,277454,3446611,,233,0,07a49b9daf1067ba9373d228baede6ec9558469c,0,0,0,0,0,
20210221,CA,3441946.0,,,,totalTestsViral,47043348.0,7313.0,,2073.0,,,,,2/21/2021 02:59,2021-02-21T02:59:00Z,02/20 21:59,49105.0,,,2021-02-21T02:59:00Z,47043348.0,,,3441946.0,,,,,,,,,,,,,,,06,6760,0,3441946,229472,3441946,,280,0,2edcbb0b1b1772e25f47d0cc1c8f09efd176bf40,0,0,0,0,0,
20210220,CA,3435186.0,,,,totalTestsViral,46813876.0,7747.0,,2168.0,,,,,2/20/2021 02:59,2021-02-20T02:59:00Z,02/19 21:59,48825.0,,,2021-02-20T02:59:00Z,46813876.0,,,3435186.0,,,,,,,,,,,,,,,06,6668,0,3435186,192222,3435186,,481,0,e44d1c78e10eab99d518261aca2a6a0ed1e6b121,0,0,0,0,0,
20210219,CA,3428518.0,,,,totalTestsViral,46621654.0,8156.0,,2291.0,,,,,2/19/2021 02:59,2021-02-19T02:59:00Z,02/18 21:59,48344.0,,,2021-02-19T02:59:00Z,46621654.0,,,3428518.0,,,,,,,,,,,,,,,06,6798,0,3428518,117399,3428518,,420,0,a146bb437f7b145a3688886430cb3ca61363a2c8,0,0,0,0,0,
20210218,CA,3421720.0,,,,totalTestsViral,46504255.0,8566.0,,2427.0,,,,,2/18/2021 02:59,2021-02-18T02:59:00Z,02/17 21:59,47924.0,,,2021-02-18T02:59:00Z,46504255.0,,,3421720.0,,,,,,,,,,,,,,,06,5573,0,3421720,119323,3421720,,417,0,534fa03ec2ea349732dd76e6335724b5edf2eeb9,0,0,0,0,0,
20210217,CA,3416147.0,,,,totalTestsViral,46384932.0,8855.0,,2533.0,,,,,2/17/2021 02:59,2021-02-17T02:59:00Z,02/16 21:59,47507.0,,,2021-02-17T02:59:00Z,46384932.0,,,3416147.0,,,,,,,,,,,,,,,06,4090,0,3416147,157207,3416147,,400,0,2b1a7ea35489c950b2c1e95401128da022cf392c,0,0,0,0,0,
20210216,CA,3412057.0,,,,totalTestsViral,46227725.0,9075.0,,2604.0,,,,,2/16/2021 02:59,2021-02-16T02:59:00Z,02/15 21:59,47107.0,,,2021-02-16T02:59:00Z,46227725.0,,,3412057.0,,,,,,,,,,,,,,,06,5692,0,3412057,263598,3412057,,64,0,c2bbb3f210b244f4ffb60dc7f235a2b295304eba,0,0,0,0,0,
20210215,CA,3406365.0,,,,totalTestsViral,45964127.0,9299.0,,2650.0,,,,,2/15/2021 02:59,2021-02-15T02:59:00Z,02/14 21:59,47043.0,,,2021-02-15T02:59:00Z,45964127.0,,,3406365.0,,,,,,,,,,,,,,,06,6487,0,3406365,260910,3406365,,200,0,8de6c6b00b7532ee51aab40b0e88d90eea899d42,0,0,0,0,0,
20210214,CA,3399878.0,,,,totalTestsViral,45703217.0,9636.0,,2733.0,,,,,2/14/2021 02:59,2021-02-14T02:59:00Z,02/13 21:59,46843.0,,,2021-02-14T02:59:00Z,45703217.0,,,3399878.0,,,,,,,,,,,,,,,06,8842,0,3399878,291580,3399878,,408,0,062ce3937ed60ea6349252907ce0b85ab8b6e70b,0,0,0,0,0,
20210213,CA,3391036.0,,,,totalTestsViral,45411637.0,9998.0,,2808.0,,,,,2/13/2021 02:59,2021-02-13T02:59:00Z,02/12 21:59,46435.0,,,2021-02-13T02:59:00Z,45411637.0,,,3391036.0,,,,,,,,,,,,,,,06,9421,0,3391036,286196,3391036,,433,0,93153b4286e93fbeb11e264e90570a28b14e1fc5,0,0,0,0,0,
20210212,CA,3381615.0,,,,totalTestsViral,45125441.0,10505.0,,2930.0,,,,,2/12/2021 02:59,2021-02-12T02:59:00Z,02/11 21:59,46002.0,,,2021-02-12T02:59:00Z,45125441.0,,,3381615.0,,,,,,,,,,,,,,,06,10059,0,3381615,201460,3381615,,546,0,5a131108da354a5e8d66a1f1e9c6ac3455e47d60,0,0,0,0,0,
